Station,StdAggComposite,StdAggNina,StdAggNino,StdAggNeutral
21201300,155.3983942251704,159.87347791178388,174.4328211178274,127.98345649593688
21201310,246.3938698671526,207.94102437925744,309.1922179723649,223.03128834456976
21201320,294.1482301741487,362.84446262059737,242.63175657612055,264.5322200518754
21201330,144.38718852105464,149.25686957421792,154.4330698320106,122.92370894276175
21201340,136.8929314591684,77.7847521534341,106.40872525182144,154.53203507537972
21201360,211.58590390363238,171.25337106449862,239.15327019983346,162.8326789928656
21201370,304.02043695038617,195.11647260274023,209.62343527306064,391.9729791511885
21201410,189.5109614804679,226.07263561420717,186.24022844938762,132.17139507760885
21201550,214.86427194869847,265.78725107178406,152.1197404475165,156.942597900698
21201560,193.48900136612485,160.04108879169664,211.95935221786118,202.87104796009243
21201590,107.82179218868781,92.23107225432048,88.02963565411366,113.95017616238268
21201600,242.41460929163043,289.5723747119779,179.70540840474783,176.81180230627086
21201610,145.0644510549999,170.23964596157612,136.22055451370156,104.1914404679849
21201630,222.66631918574308,242.42608217859075,186.07123112681205,148.70108385222545
21201640,157.57060175599366,196.19573944697524,105.8309521629576,90.63626918430023
21201650,148.04884440210847,185.63089414884402,144.356289403957,118.73341591868831
21201660,204.22153362064026,183.70558010075177,180.46649542174168,229.23766987528035
21201710,119.71957583100414,121.45862959896394,112.80034520583946,125.12742844116772
21201770,378.2900568090559,567.8230219591234,117.0585759878551,269.0491265115877
21201800,283.72048743619234,369.3639015094556,321.8545631303407,145.67102184950707
21201850,375.19854320356706,285.7135232491521,311.0421436440731,381.84537518403124
21201880,183.04006984510198,184.04039110498644,166.6312302249213,167.30587414334803
21201920,288.9380286278929,293.8468496818321,185.68480584525426,263.4196182493871
21201960,328.3927881533642,437.21458493892874,309.735644917164,233.030385950117
21201970,164.32546470222712,175.0938129303267,111.13733171289961,174.48687308499245
21201980,287.7110834889871,293.3432431935246,315.7877713067678,251.98450639913568
21202000,164.28363650954367,184.82554212905725,117.81627169132946,175.45034007565962
21202020,174.83887886920195,197.19327532131055,154.66983687879235,139.74144481144083
21202040,161.219139312724,162.00032451047048,224.4068493349794,104.40725809551556
21202050,137.01554261672598,164.90305797072955,120.1201165940798,101.25096719524068
21202070,174.9007938234797,194.35097243609908,136.63193937006648,136.87991008180302
21202080,177.57504550111634,187.67264590079168,183.63202903644543,126.14537795733904
21202110,130.48135968838412,149.4050054435082,115.7751913931139,119.07176775281597
21202120,238.07861396011077,274.0527880862483,122.30543441395437,232.27702996769614
21202130,187.48471499501872,228.55820535151597,151.15114726699798,117.13620805054123
21202160,349.3493611268356,455.73741613287064,268.5970409941712,228.91353685976958
21205160,110.39511807981523,91.79449717312579,131.66700854519047,86.45969500647536
21205230,216.09612559566173,278.8854114621548,146.1670094480572,141.26189344142696
21205240,192.17829198279372,230.9531964276901,164.53661785665662,137.00769578416214
21205390,152.4707439155129,177.5013669353365,133.75678629268336,144.46354604193343
21205400,148.9819361588307,173.11400291538587,100.01108493968168,101.26223713915323
21205410,136.1671288131383,132.01712891835092,104.4466882314452,118.97334333348455
21205420,171.08508053708354,173.15139335121071,136.9700240595601,159.59253839994162
21205480,113.38766031108169,115.11994979543765,113.37733826085778,91.84402532151147
21205520,204.52965295053724,234.45789616453902,165.51452874139326,151.69382872747337
21205570,119.32969993062046,118.04265560536138,119.68630607977124,98.87875209552345
21205590,156.60271599342096,186.11950196351185,82.71821906013295,140.74015651235092
21205610,121.33915383451058,152.163782688759,107.97652126775226,95.29517092594676
21205650,223.2993813613627,142.5509864959508,184.1444453648527,254.15754133627462
21205660,233.6053245801538,245.14786950210188,207.91899317257221,211.84353193373764
21205690,201.5159915503233,260.11964111451874,131.7268569908338,136.1378868344509
21205710,266.82881465782356,299.1134409593019,198.70446759256993,191.4158246052312
21205720,165.73651662391072,201.09711852994525,181.2229777542976,82.4714676844721
21205740,176.35266486751243,239.3873136631269,126.0174022799741,147.5794266673495
21205791,203.2168775333592,232.11994645094003,165.5029421216129,152.3935916537642
21205940,159.00057059021898,193.66136755791985,112.90203220439042,125.26805170348256
21205980,192.01266216009813,204.84387152974998,170.66718004724953,139.51620261607417
21206050,141.18404871899477,153.67662378059538,117.84624524468948,108.66914669051606
21206080,234.1549092534897,221.8856585151137,180.63707614501405,211.61103285742632
21206180,254.61526597822845,256.08261635086814,172.43320140189195,255.6686387480624
21206260,185.43264684835677,242.1617072878934,138.68936682086505,134.1625809819766
21206290,149.95237938835115,158.72318024386553,161.5488677326557,121.95684447166516
21206300,145.1916683230761,106.76783561885505,108.97761930560661,171.57564778049388
21206400,147.1274506099504,170.43138616543993,140.1079507525234,112.65156872545305
21206560,168.14301538255697,207.72039281068749,114.27527046872294,128.00168759465777
21206590,187.36577610657537,104.42371233379995,139.5965138165877,257.576252117653
21206600,187.70488961275498,195.12540070230065,168.80923484245238,151.6364974084189
21206650,200.7396972519495,258.94260461164873,128.22509928041083,190.07177616611395
21206690,233.28941301737322,238.0826450005771,165.2494680736898,213.9634992639274
21206980,253.95165531882765,325.0703613408744,232.1092018592453,197.29823276575814
21230060,227.34983181016054,203.18530398052258,253.42791592062423,235.65314879277065
21230070,261.63861634291936,265.11775010982274,300.97331699685594,229.94441645491548
21230090,488.829276851399,579.226397191616,426.0556703722273,437.6709148095138
21230110,299.8839467790533,221.3840514273086,300.57087818489254,352.13533441572895
21230120,447.9165647224835,506.84606109063503,374.0762467444278,410.2162283255224
21235010,180.16840239502343,170.0710411229722,201.18111801550924,177.2692606227947
21250430,282.6784612193911,347.4145383146886,217.04964951485624,255.4141362239491
21250540,252.02440432560135,250.9333624915597,333.41188659110804,149.03387827882548
21250570,198.6127399128437,172.36602563728417,222.23910521564915,195.35056362193436
21250580,219.81320417243418,251.45546624334457,223.49480510153478,150.04503991088936
21250590,221.1596341710188,225.3047092686209,242.70721462660762,183.63685671493036
21250610,235.6052517803441,261.0025825991682,154.46377902105453,248.86949994998182
23025020,497.9564354669038,496.8248515834895,519.6579806418979,447.5512351012161
23060050,397.5242850245468,285.2508920411592,375.2742764658278,385.5351917906744
23060060,584.6233879692746,250.04712828290582,740.9573965860975,686.3417686648145
23060140,233.72680117161548,244.761648283098,212.25245000899386,204.55116249610498
23060180,381.0479750293412,396.51350162433795,352.964871030841,306.200036927462
23060190,256.07686138977965,338.7708520192867,154.8029421848658,220.20566705324015
23060200,355.64056526995284,415.19835260344666,399.7376744448188,240.13280797766507
23060260,302.1012770980354,350.49658148024025,271.98624059168884,224.99500424739497
